,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-02-06 00:00:00+00:00,2.5499878,2.0633788,0.0,0.0,0.0,6.0,4.1,0.0,1.5
2022-02-06 01:00:00+00:00,2.437154,2.1226273,0.0,0.0,0.0,24.233334,2.7333333,0.0,21.066668
2022-02-06 02:00:00+00:00,2.3243206,2.181876,0.0,0.0,0.0,42.466667,1.3666667,0.0,40.633335
2022-02-06 03:00:00+00:00,2.2114868,2.2411244,0.0,0.0,0.0,60.7,0.0,0.0,60.2
2022-02-06 04:00:00+00:00,1.9737753,2.2253344,0.0,0.0,0.0,60.733334,0.0,0.5,59.966667
2022-02-06 05:00:00+00:00,1.7360636,2.2095444,0.0,0.0,0.0,60.766666,0.0,1.0,59.733334
2022-02-06 06:00:00+00:00,1.498352,2.1937544,0.0,0.0,0.0,60.8,0.0,1.5,59.5
2022-02-06 07:00:00+00:00,2.4489033,2.3046722,18.985871504493257,0.0,18.985871504493257,70.86667,0.0,3.1000001,69.76667
2022-02-06 08:00:00+00:00,3.3994548,2.4155898,37.971743008986515,0.0,37.971743008986515,80.933334,0.0,4.7000003,80.03333
2022-02-06 09:00:00+00:00,4.350006,2.5265076,56.957614513479776,0.0,56.957614513479776,91.0,0.0,6.3,90.3
2022-02-06 10:00:00+00:00,6.850006,2.1451876,96.28987971280128,2.037990302282123,95.26340410465224,92.333336,0.0,6.1,91.66667
2022-02-06 11:00:00+00:00,9.350006,1.7638677,135.6221449121228,4.075980604564246,133.5691936958247,93.666664,0.0,5.9,93.03333
2022-02-06 12:00:00+00:00,11.850006,1.3825479,174.95441011144428,6.113970906846369,171.87498328699718,95.0,0.0,5.7,94.4
2022-02-06 13:00:00+00:00,11.956777,1.6659642,161.7589246705889,5.205894897060374,159.27251890747368,92.8,0.0,16.733334,82.0
2022-02-06 14:00:00+00:00,12.063548,1.9493808,148.56343922973352,4.29781888727438,146.67005452795016,90.6,0.0,27.766666,69.6
2022-02-06 15:00:00+00:00,12.170319,2.2327971,135.36795378887814,3.389742877488385,134.06759014842666,88.4,0.0,38.8,57.2
2022-02-06 16:00:00+00:00,9.930217,1.9239416,90.24530252591876,2.259828584992257,89.37839343228444,90.333336,0.0,33.366665,64.333336
2022-02-06 17:00:00+00:00,7.6901145,1.615086,45.12265126295938,1.1299142924961285,44.68919671614222,92.26666,0.0,27.933332,71.46667
2022-02-06 18:00:00+00:00,5.450012,1.3062304,0.0,0.0,0.0,94.2,0.0,22.5,78.6
2022-02-06 19:00:00+00:00,5.1166787,2.0489185,0.0,0.0,0.0,91.933334,0.0,23.166666,79.86667
